Position,Original Title,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,Apoorva Raagangal,7.6,144,1975,"Drama, Romance",489,15-08-1975,K. Balachander
2,Katha Sangama,8.4,144,1976,Drama,78,23-01-1976,S.R. Puttana Kanagal
3,Anthuleni Katha,8.2,150,1976,"Drama, Family",123,27-02-1976,K. Balachander
4,Moondru Mudichu,7.6,131,1976,"Drama, Romance",329,22-10-1976,K. Balachander
5,Avargal,7.3,167,1977,Drama,199,25-02-1977,K. Balachander
6,Kavikuyil,5.4,99,1977,,48,29-07-1977,Mohan
7,Raghupati Raghava Rajaram,7.2,129,1977,Comedy,18,12-08-1977,Durai
8,Chilakamma Cheppindi,7.2,155,1977,"Drama, Romance",24,13-08-1977,Eranki Sharma
9,Bhuvana Oru Kelvikkuri,7.6,146,1977,"Drama, Romance",89,09-09-1977,S.P. Muthuraman
10,Pathinaru Vayathinile,8,139,1977,"Drama, Romance",1292,15-09-1977,Bharathiraja
11,Sahodarara Saval,7.9,155,1977,"Action, Drama, Musical",59,16-09-1977,K.S.R. Das
12,Aadu Puli Attam,6.9,136,1977,"Action, Drama, Thriller",87,30-09-1977,S.P. Muthuraman
13,Gayatri,6.5,122,1977,Action,64,07-10-1977,R. Pattaabhiraaman
14,Kumkuma Rakshe,7.9,160,1977,Drama,14,14-10-1977,S.K. Ananthachari
15,Aarupushpangal,5.7,125,1977,,25,10-11-1977,K. Balakrishnan
16,Tholireyi Gadichindi,7.9,,1977,,11,17-11-1977,K.S. Rami Reddy
17,Aame Katha,7.8,,1977,,17,18-11-1977,K. Raghavendra Rao
18,Galate Samsara,7.8,145,1977,Comedy,31,02-12-1977,C.V. Rajendran
19,Shankar Saleem Simon,5,112,1978,"Action, Comedy, Drama",27,10-02-1978,P. Madhavan
20,Kiladi Kittu,6.3,140,1978,"Action, Adventure, Crime, Romance, Thriller",57,03-03-1978,K.S.R. Das
21,Anna Dammula Saval,6.8,,1978,Drama,8,03-03-1978,K.S.R. Das
22,Aayiram Janmangal,6.6,112,1976,,13,,P.N. Sundaram
23,Maathu Thappadha Maga,8.1,132,1978,,20,31-03-1978,Sivaram Peketi
24,Mangudi Minor,5.6,136,1978,,21,19-05-1978,V.C. Guhanathan
25,Bhairavi,7.3,124,1978,Drama,79,08-06-1978,"M. Baskar, R. Baskar"
26,Ilamai Oonjal Aadukirathu,7.1,141,1978,"Drama, Romance",147,09-06-1978,C.V. Sridhar
27,Vanakathukuria Kathaliye,4.9,127,1978,,37,14-07-1978,A.C. Trilogchander
28,Vayasu Pilichindi,7.3,141,1978,"Drama, Romance",41,04-08-1978,C.V. Sridhar
29,Mullum Malarum,8.3,143,1978,Drama,1029,15-08-1978,J. Mahendran
30,Iraivan Kodutha Varam,7.2,140,1978,Drama,24,22-09-1978,A. Bhimsingh
31,Thappu Thalangal,8,131,1978,Drama,138,06-10-1978,K. Balachander
32,Aval Appadithaan,8.1,114,1978,Drama,308,30-10-1978,C. Rudraiyaa
33,Thayi Meethu Sathyam,7.1,136,1978,"Action, Drama",83,30-10-1978,R. Thyagaraajan
34,En Kelvikku Enna Bathil,5.7,112,1978,"Action, Drama",39,09-12-1978,P. Madhavan
35,Pavathin Sambalam,7,,1978,,11,,Durai
36,Justice Gopinath,6.7,140,1978,Drama,41,16-12-1978,Yoganand
37,Priya,5.8,148,1978,"Drama, Musical, Romance",165,01-01-1984,S.P. Muthuraman
38,Kuppathu Raja,5.6,134,1979,Action,51,12-01-1979,Ramanna
39,Alavuddinum Athbutha Vilakkum,6.6,144,1979,"Adventure, Drama, Fantasy",221,14-04-1979,I.V. Sasi
40,Ninaithale Inikkum,6.7,141,1979,"Musical, Romance",315,14-04-1979,K. Balachander
41,Thayillamal Nannilai,6.3,135,1979,"Action, Drama",81,14-04-1979,R. Thyagaraajan
42,Dharma Yuddham,6,134,1979,"Action, Drama",91,29-06-1979,R.C. Sakthi
43,Naan Vaazha Vaippen,6.9,137,1979,"Musical, Thriller",55,10-08-1979,Yoganand
44,Tiger,7.1,140,1979,"Action, Drama",40,05-09-1979,N. Ramesh
45,Aarilirunthu Arubathuvarai,8,,1979,Drama,23,01-01-1979,S.P. Muthuraman
46,Annai Oru Aalayam,6.8,122,1979,"Adventure, Drama",128,19-10-1979,R. Thyagaraajan
47,Billa,7.5,175,1980,"Action, Crime, Thriller",922,26-01-1980,R. Krishnamurthy
48,Natchatiram,5.3,,1980,Drama,36,12-04-1980,Dasari Narayana Rao
49,Ram Robert Rahim,6.2,154,1980,"Action, Comedy, Drama",60,31-05-1980,Vijaya Nirmala
50,Anbukku Naan Adimai,6.7,131,1980,"Action, Drama",82,04-06-1980,R. Thyagaraajan
51,Kaali,6.1,144,1980,"Action, Drama",98,19-09-1980,I.V. Sasi
52,Maayadhaari Krishnudu,6.6,129,1980,Action,14,19-07-1980,R. Thyagaraajan
53,Naan Potta Savaal,5.2,140,1980,Action,38,07-08-1980,Puratchchidasan
54,Johnny,7.7,140,1980,"Action, Crime, Drama, Romance",589,15-08-1980,J. Mahendran
55,Ellam Un Kairasi,5,131,1980,Drama,40,06-10-1980,I.V. Sasi
56,Polladhavan,6.5,135,1980,"Crime, Thriller",192,06-11-1980,Muktha V. Srinivasan
57,Murattu Kaalai,6.9,144,1980,"Action, Drama",365,20-12-1980,S.P. Muthuraman
58,Thee,6.5,160,1981,"Action, Crime, Drama",174,26-01-1981,R. Krishnamurthy
59,Kazhugu,6.4,139,1981,"Action, Thriller",149,06-03-1981,"S.P. Muthuraman, S.P.M. Raman"
60,Thillu Mullu,8.5,136,1981,Comedy,3866,01-05-1981,K. Balachander
61,Garjanai,5.4,124,1981,"Action, Crime, Drama",39,07-08-1981,C.V. Rajendran
62,Netri Kann,7.3,149,1981,Drama,322,15-08-1981,S.P. Muthuraman
63,Ranuva Veeran,5.1,152,1981,"Action, Crime, Drama",150,26-10-1981,S.P. Muthuraman
64,Pokkiri Raja,6.3,140,1982,Action,193,14-01-1982,S.P. Muthuraman
65,Thanikkattu Raja,4.7,153,1982,"Action, Drama",114,12-03-1982,V.C. Guhanathan
66,Ranga,6.3,133,1982,"Action, Drama",143,14-04-1982,R. Thyagaraajan
67,Pudhu Kavithai,7.1,138,1982,"Drama, Romance",138,11-06-1982,S.P. Muthuraman
68,Nandri Meendum Varuga,6,112,1982,Drama,15,09-07-1982,Mouli
69,Engeyo Ketta Kural,7.6,140,1982,"Drama, Romance",108,14-08-1982,S.P. Muthuraman
70,Moondru Mugham,7.4,134,1982,"Action, Drama",480,01-10-1982,A. Jagannathan
71,Agni Sakshi,6.8,151,1982,Drama,60,14-11-1982,K. Balachander
72,Paayum Puli,6.4,130,1983,Action,188,14-01-1983,S.P. Muthuraman
73,Uruvangal Maralam,7.6,,1983,Comedy,40,14-01-1983,S.V. Ramanan
74,Thudikkum Karangal,6.7,137,1983,Action,58,05-05-1987,C.V. Sridhar
75,Andhaa Kaanoon,6.2,155,1983,"Action, Drama",858,08-04-1983,Rama Rao Tatineni
76,Thayi Veedu,7.6,138,1983,"Crime, Drama, Musical",81,14-04-1983,R. Thyagaraajan
77,Sivappu Sooriyan,5.1,139,1983,Action,61,27-05-1983,Muktha V. Srinivasan
78,Jeet Hamaari,5,149,1983,Action,32,30-05-1983,R. Thyagaraajan
79,Adutha Varisu,5.6,135,1983,Drama,108,07-07-1983,S.P. Muthuraman
80,Thanga Magan,6.3,120,1983,"Action, Drama",127,04-11-1983,A. Jagannathan
81,Meri Adaalat,5.3,131,1984,"Action, Thriller",39,13-01-1984,A.T. Raghu
82,Naan Mahaan Alla,6.2,138,1984,"Action, Drama",117,14-01-1984,S.P. Muthuraman
83,Thambikku Entha Ooru,7,135,1984,"Action, Drama, Romance",274,20-04-1984,Rajasekar
84,Kai Kodukkam Kai,6.4,131,1984,"Action, Drama",104,15-06-1984,J. Mahendran
85,Idhey Naa Savaal,6.7,130,1984,Action,14,15-06-1984,Puratchchidasan
86,Anbulla Rajanikant,6.1,138,1984,"Action, Drama, Family",216,02-08-1984,K. Nataraj
87,Gangvaa,5.7,126,1984,"Action, Drama",52,14-09-1984,Rajasekhar
88,Nallavanukku Nallavan,6.9,175,1984,"Drama, Romance",296,22-10-1984,S.P. Muthuraman
89,John Jani Janardhan,6.6,,1984,"Action, Comedy, Drama, Romance",66,26-10-1984,Rama Rao Tatineni
90,Nyayam Meere Cheppali,6.1,135,1985,"Action, Crime",15,08-02-1985,G. Rama Mohana Rao
91,Naan Sigappu Manithan,7,144,1985,"Action, Crime, Drama",412,12-04-1985,S.A. Chandrashekhar
92,Mahaguru,5.4,92,1985,"Action, Comedy, Crime, Drama",38,26-04-1985,S.S. Ravichandra
93,Unn Kannil Neer Vazhindal,5.4,130,1985,Action,48,20-06-1985,Balu Mahendra
94,Wafadaar,4.7,150,1985,"Comedy, Drama",44,01-09-1985,"Dasari Narayana Rao, Pilla Srinivas"
95,Sree Raaghavendar,7,153,1985,"Biography, Drama",265,01-09-1985,S.P. Muthuraman
96,Geraftaar,5.9,167,1985,"Action, Drama",545,13-09-1985,Prayag Raj
97,Bewafai,5.7,145,1985,"Drama, Romance",80,05-07-1985,R. Thyagaraajan
98,Padikkathavan,7.3,129,1985,Drama,526,,Rajasekar
99,Mr. Bharath,7.2,141,1986,Drama,400,10-01-1986,S.P. Muthuraman
100,Naan Adimai Illai,5.5,140,1986,Action,134,,B.S. Dwarakish
101,Jeevana Poratam,6.5,143,1986,,14,10-04-1986,Rajachandra
102,Viduthalai,6.7,148,1986,Action,95,11-04-1986,K. Vijayan
103,Bhagwaan Dada,4.7,147,1986,"Drama, Thriller",209,25-04-1986,J. Om Prakash
104,Kodai Mazhai,4.9,137,1986,,7,26-09-1986,Muktha S. Sundar
105,Asli Naqli,4.8,128,1986,"Action, Drama",56,14-10-1986,Sudarshan Nag
106,Dosti Dushmani,5.8,152,1986,"Action, Drama",94,23-10-1986,Rama Rao Tatineni
107,Maaveeran,5.5,157,1986,Action,128,01-11-1986,Rajasekar
108,Daku Hasina,5.5,,1987,"Action, Drama",45,,Ashok Roy
109,Velaikkaaran,6.6,139,1987,Comedy,341,,S.P. Muthuraman
110,Insaaf Kaun Karega,5.4,,1984,"Action, Drama",74,1984,Sudarshan Nag
111,Oor Kavalan,6.1,180,1987,Drama,105,04-09-1987,Manobala
112,Manithan,6.4,139,1987,"Action, Crime, Drama",229,21-10-1987,S.P. Muthuraman
113,Manathil Uruthi Vendum,7.1,146,1987,Drama,110,,K. Balachander
114,Uttar Dakshin,4.2,155,1987,"Action, Drama",148,13-11-1987,Prabhat Khanna
115,Tamacha,4,165,1988,"Action, Romance",69,26-03-1988,Ramesh Ahuja
116,Guru Sishyan,7.2,139,1988,"Action, Comedy",499,13-04-1988,S.P. Muthuraman
117,Dharmathin Thalaivan,7,142,1988,"Action, Drama",405,,S.P. Muthuraman
118,Bloodstone,4.6,91,1988,"Action, Adventure, Comedy",1850,07-10-1988,Dwight H. Little
119,Kodiparakkudu,5.7,143,1988,Crime,137,08-11-1988,Bharathiraja
120,Rajathi Raja,6.7,137,1989,"Action, Comedy, Drama, Romance",388,04-03-1989,R. Sundarajan
121,Gair Kaanooni,4.4,152,1989,"Action, Comedy, Drama",141,24-03-1989,Prayag Raj
122,Siva,7.2,163,1989,Drama,80,05-05-1989,Amirjan
123,Raja Chinna Roja,6.9,140,1989,"Action, Comedy, Drama, Family",369,20-07-1989,S.P. Muthuraman
124,Mappilai,6.7,141,1989,Comedy,351,,Rajasekar
125,Bhrashtachar,4.8,153,1989,"Action, Crime, Drama",162,22-11-1989,Ramesh Sippy
126,Chaalbaaz,6.8,155,1989,"Action, Comedy, Drama, Family, Musical, Thriller",1889,08-12-1989,Pankaj Parashar
127,Panakkaran,6.8,147,1990,Drama,406,14-01-1990,P. Vasu
128,Adisaya Piravi,6.8,145,1990,"Action, Comedy, Fantasy",461,01-10-2016,S.P. Muthuraman
129,Dharma Durai,6.6,144,1991,Drama,391,,Rajasekar
130,Hum,6.9,184,1991,"Action, Comedy, Drama",3467,01-02-1991,Mukul Anand
131,Farishtay,5,193,1991,"Action, Comedy, Drama",332,22-02-1991,Anil Sharma
132,Khoon Ka Karz,4,151,1991,"Action, Crime, Drama",121,01-03-1991,Mukul Anand
133,Phool Bane Angaray,4.5,,1991,"Action, Drama",179,,K.C. Bokadia
134,Nattukku Oru Nallavan,4.6,,1991,Action,118,02-10-1991,Ravichandran
135,Thalapathi,8.5,157,1991,"Action, Crime, Drama",13834,25-11-1991,Mani Ratnam
136,Mannan,7.2,154,1992,"Action, Comedy, Drama",993,14-01-1992,P. Vasu
137,Tyagi,5.3,145,1992,Drama,88,29-05-1992,K.C. Bokadia
138,Annamalai,7.7,164,1992,"Comedy, Drama, Musical",2477,27-06-1992,Suresh Krishna
139,Pandian,5.1,149,1992,"Action, Crime",282,25-10-1992,S.P. Muthuraman
140,Insaniyat Ke Devta,5.3,,1993,"Action, Drama",99,12-02-1993,K.C. Bokadia
141,Ejamaan,6.5,153,1993,"Drama, Romance",762,18-02-1993,R.V. Udhaya Kumar
142,Uzhaippaali,6.4,156,1993,"Action, Comedy, Romance",465,,P. Vasu
143,Valli,4,,1993,Drama,251,20-08-1993,K. Nataraj
144,Veera,6.6,162,1994,"Comedy, Romance",741,01-01-1994,Suresh Krishna
145,Baasha,8.3,145,1995,"Action, Crime, Drama",11873,15-01-1995,Suresh Krishna
146,Peda Rayudu,7.4,165,1995,"Action, Drama",634,15-06-1995,Ravi Raja Pinisetty
147,Aatank Hi Aatank,4.5,155,1995,"Action, Crime, Drama",895,04-08-1995,Dilip Shankar
148,Muthu,7.5,156,1995,"Action, Comedy, Drama",3737,23-10-1995,K.S. Ravikumar
149,Arunachalam,7.5,165,1997,"Action, Comedy, Drama",2694,10-04-1997,Sundar C.
150,Padayappa,8.2,181,1999,"Action, Comedy, Drama, Romance",8228,10-04-1999,K.S. Ravikumar
151,Bulandi,5.2,175,2000,"Action, Drama",810,07-01-2000,Rama Rao Tatineni
152,Baba,5.4,179,2002,"Action, Drama, Fantasy",2551,11-12-2022,Suresh Krishna
153,Chandramukhi,7.2,166,2005,"Action, Comedy, Drama, Fantasy, Horror, Mystery",7402,14-04-2005,P. Vasu
154,Sivaji,7.5,188,2007,"Action, Crime, Drama, Thriller",22365,15-06-2007,S. Shankar
155,Kuselan,4.9,165,2008,"Comedy, Drama, Family",1225,01-08-2008,P. Vasu
156,Enthiran,7.1,174,2010,"Action, Sci-Fi, Thriller",31194,01-10-2010,S. Shankar
157,Kochadaiiyaan,6.2,118,2014,"Animation, Action, Adventure, History",5416,23-05-2014,Soundarya Rajinikanth Vishagan
158,Lingaa,5.6,174,2014,"Action, Comedy, Drama",6549,12-12-2014,K.S. Ravikumar
159,Kabali,6.1,153,2016,"Action, Crime, Drama",14626,22-07-2016,Pa. Ranjith
160,Kaala,6.5,162,2018,"Action, Crime, Drama",10715,06-06-2018,Pa. Ranjith
161,2,6,148,2018,"Action, Sci-Fi, Thriller",28293,29-11-2018,S. Shankar
162,Petta,7.1,171,2019,"Action, Drama",12473,09-01-2019,Karthik Subbaraj
163,Darbar,5.9,159,2020,"Action, Crime, Thriller",7735,08-01-2020,A.R. Murugadoss
164,Annaatthe,4,163,2021,"Action, Comedy, Drama",10972,04-11-2021,Siva
